Horodatage;Num屍o d'姿oque;Sommeil
22:20:30;1;プeil
22:21:00;2;プeil
22:21:30;3;プeil
22:22:00;4;プeil
22:22:30;5;プeil
22:23:00;6;プeil
22:23:30;7;プeil
22:24:00;8;プeil
22:24:30;9;プeil
22:25:00;10;プeil
22:25:30;11;プeil
22:26:00;12;プeil
22:26:30;13;プeil
22:27:00;14;プeil
22:27:30;15;プeil
22:28:00;16;プeil
22:28:30;17;プeil
22:29:00;18;プeil
22:29:30;19;プeil
22:30:00;20;プeil
22:30:30;21;プeil
22:31:00;22;プeil
22:31:30;23;プeil
22:32:00;24;プeil
22:32:30;25;プeil
22:33:00;26;プeil
22:33:30;27;プeil
22:34:00;28;プeil
22:34:30;29;プeil
22:35:00;30;プeil
22:35:30;31;プeil
22:36:00;32;プeil
22:36:30;33;プeil
22:37:00;34;プeil
22:37:30;35;プeil
22:38:00;36;プeil
22:38:30;37;プeil
22:39:00;38;プeil
22:39:30;39;プeil
22:40:00;40;プeil
22:40:30;41;プeil
22:41:00;42;プeil
22:41:30;43;プeil
22:42:00;44;プeil
22:42:30;45;プeil
22:43:00;46;プeil
22:43:30;47;プeil
22:44:00;48;プeil
22:44:30;49;プeil
22:45:00;50;プeil
22:45:30;51;プeil
22:46:00;52;プeil
22:46:30;53;プeil
22:47:00;54;プeil
22:47:30;55;プeil
22:48:00;56;プeil
22:48:30;57;プeil
22:49:00;58;プeil
22:49:30;59;プeil
22:50:00;60;プeil
22:50:30;61;プeil
22:51:00;62;プeil
22:51:30;63;プeil
22:52:00;64;プeil
22:52:30;65;プeil
22:53:00;66;プeil
22:53:30;67;プeil
22:54:00;68;プeil
22:54:30;69;プeil
22:55:00;70;プeil
22:55:30;71;プeil
22:56:00;72;プeil
22:56:30;73;プeil
22:57:00;74;プeil
22:57:30;75;プeil
22:58:00;76;プeil
22:58:30;77;プeil
22:59:00;78;プeil
22:59:30;79;プeil
23:00:00;80;プeil
23:00:30;81;プeil
23:01:00;82;プeil
23:01:30;83;プeil
23:02:00;84;プeil
23:02:30;85;プeil
23:03:00;86;プeil
23:03:30;87;プeil
23:04:00;88;プeil
23:04:30;89;プeil
23:05:00;90;プeil
23:05:30;91;プeil
23:06:00;92;プeil
23:06:30;93;プeil
23:07:00;94;プeil
23:07:30;95;プeil
23:08:00;96;プeil
23:08:30;97;プeil
23:09:00;98;プeil
23:09:30;99;プeil
23:10:00;100;プeil
23:10:30;101;プeil
23:11:00;102;プeil
23:11:30;103;プeil
23:12:00;104;プeil
23:12:30;105;プeil
23:13:00;106;プeil
23:13:30;107;プeil
23:14:00;108;プeil
23:14:30;109;N1
23:15:00;110;N2
23:15:30;111;N2
23:16:00;112;N2
23:16:30;113;N2
23:17:00;114;N2
23:17:30;115;N2
23:18:00;116;N2
23:18:30;117;N2
23:19:00;118;N2
23:19:30;119;N3
23:20:00;120;N3
23:20:30;121;N3
23:21:00;122;N3
23:21:30;123;N3
23:22:00;124;N3
23:22:30;125;N3
23:23:00;126;N3
23:23:30;127;プeil
23:24:00;128;プeil
23:24:30;129;プeil
23:25:00;130;N2
23:25:30;131;N2
23:26:00;132;N2
23:26:30;133;N2
23:27:00;134;N1
23:27:30;135;N2
23:28:00;136;N2
23:28:30;137;N2
23:29:00;138;N2
23:29:30;139;N2
23:30:00;140;N2
23:30:30;141;N2
23:31:00;142;N2
23:31:30;143;N3
23:32:00;144;N3
23:32:30;145;N3
23:33:00;146;N3
23:33:30;147;N3
23:34:00;148;N3
23:34:30;149;N3
23:35:00;150;N3
23:35:30;151;N3
23:36:00;152;N2
23:36:30;153;N2
23:37:00;154;N2
23:37:30;155;N1
23:38:00;156;N1
23:38:30;157;N2
23:39:00;158;N2
23:39:30;159;N2
23:40:00;160;N2
23:40:30;161;N2
23:41:00;162;N1
23:41:30;163;N2
23:42:00;164;N2
23:42:30;165;N2
23:43:00;166;N2
23:43:30;167;N2
