AWA;REM;N1;N2;N3;begin;end;event
0,981055498123169;0,0188968572765589;2,49816384894075e-05;6,06240382694523e-06;1,66600639204262e-05;2019-12-03 00:03:22;2019-12-03 00:03:52;AWA
0,831965804100037;0,166504979133606;0,00123697111848742;0,000151508676935919;0,000140687014209107;2019-12-03 00:03:52;2019-12-03 00:04:22;AWA
0,538980484008789;0,451404631137848;0,00839094165712595;0,000798641471192241;0,00042532937368378;2019-12-03 00:04:22;2019-12-03 00:04:52;AWA
0,502212345600128;0,477581828832626;0,016622407361865;0,00322300940752029;0,000360409234417602;2019-12-03 00:04:52;2019-12-03 00:05:22;AWA
0,74879115819931;0,23485367000103;0,0117925694212317;0,00427955994382501;0,000283011933788657;2019-12-03 00:05:22;2019-12-03 00:05:52;AWA
0,772769749164581;0,168887957930565;0,0516925230622292;0,00625916616991162;0,000390613713534549;2019-12-03 00:05:52;2019-12-03 00:06:22;AWA
0,302246958017349;0,658623933792114;0,0352408662438393;0,00364529178477824;0,000242856680415571;2019-12-03 00:06:22;2019-12-03 00:06:52;REM
0,177947655320168;0,730571627616882;0,065805472433567;0,0248266868293285;0,00084858137415722;2019-12-03 00:06:52;2019-12-03 00:07:22;REM
0,0643021166324615;0,591811120510101;0,175196573138237;0,16373872756958;0,00495151430368423;2019-12-03 00:07:22;2019-12-03 00:07:52;REM
0,0497206337749958;0,397765696048737;0,108115971088409;0,431776791810989;0,0126209175214171;2019-12-03 00:07:52;2019-12-03 00:08:22;N2
0,263854593038559;0,362128138542175;0,092901811003685;0,275112509727478;0,00600294070318341;2019-12-03 00:08:22;2019-12-03 00:08:52;REM
0,483350336551666;0,152786508202553;0,184518113732338;0,17710754275322;0,00223746499978006;2019-12-03 00:08:52;2019-12-03 00:09:22;AWA
0,507964551448822;0,316984236240387;0,0881060287356377;0,0843262001872063;0,00261911237612367;2019-12-03 00:09:22;2019-12-03 00:09:52;AWA
0,120456285774708;0,171057492494583;0,247769966721535;0,457123875617981;0,0035923938266933;2019-12-03 00:09:52;2019-12-03 00:10:22;N2
0,0232858322560787;0,293730288743973;0,15025494992733;0,524522662162781;0,00820629578083754;2019-12-03 00:10:22;2019-12-03 00:10:52;N2
0,015524166636169;0,212075904011726;0,122637070715427;0,63698023557663;0,0127826612442732;2019-12-03 00:10:52;2019-12-03 00:11:22;N2
0,0163724049925804;0,230730280280113;0,10351275652647;0,638707876205444;0,0106766736134887;2019-12-03 00:11:22;2019-12-03 00:11:52;N2
0,013406053185463;0,195034697651863;0,0849775224924088;0,68966019153595;0,0169214922934771;2019-12-03 00:11:52;2019-12-03 00:12:22;N2
0,0154815828427672;0,0717953070998192;0,0638819262385368;0,837173998355865;0,0116671705618501;2019-12-03 00:12:22;2019-12-03 00:12:52;N2
0,0515265204012394;0,0246766731142998;0,0446732863783836;0,866811037063599;0,0123125445097685;2019-12-03 00:12:52;2019-12-03 00:13:22;N2
0,0806208923459053;0,118181228637695;0,0746391788125038;0,712256550788879;0,014302090741694;2019-12-03 00:13:22;2019-12-03 00:13:52;N2
0,572497963905334;0,232689648866653;0,0466305017471313;0,145876362919807;0,00230557308532298;2019-12-03 00:13:52;2019-12-03 00:14:22;AWA
0,373371243476868;0,306596875190735;0,107214093208313;0,209852516651154;0,00296525447629392;2019-12-03 00:14:22;2019-12-03 00:14:52;AWA
0,132571950554848;0,195731312036514;0,142610415816307;0,522089779376984;0,00699653429910541;2019-12-03 00:14:52;2019-12-03 00:15:22;N2
0,0130981849506497;0,185133948922157;0,0758924186229706;0,710358023643494;0,0155174350365996;2019-12-03 00:15:22;2019-12-03 00:15:52;N2
0,0153131736442447;0,113135904073715;0,0813285484910011;0,77081435918808;0,0194079540669918;2019-12-03 00:15:52;2019-12-03 00:16:22;N2
0,0118785444647074;0,10056945681572;0,0792754366993904;0,791993618011475;0,0162829197943211;2019-12-03 00:16:22;2019-12-03 00:16:52;N2
0,00642384309321642;0,044360775500536;0,0393282882869244;0,894267916679382;0,0156191494315863;2019-12-03 00:16:52;2019-12-03 00:17:22;N2
