Horodatage;Num屍o d'姿oque;Sommeil
00:49:00;760;プeil
00:49:30;761;プeil
00:50:00;762;プeil
00:50:30;763;プeil
00:51:00;764;プeil
00:51:30;765;N2
00:52:00;766;N2
00:52:30;767;N2
00:53:00;768;N2
00:53:30;769;N2
00:54:00;770;N2
00:54:30;771;N2
00:55:00;772;N2
00:55:30;773;N2
00:56:00;774;N3
00:56:30;775;N3
00:57:00;776;N3
00:57:30;777;N3
00:58:00;778;N3
00:58:30;779;N3
00:59:00;780;N3
00:59:30;781;N3
01:00:00;782;N3
01:00:30;783;N3
01:01:00;784;N3
01:01:30;785;N3
01:02:00;786;N3
01:02:30;787;N3
01:03:00;788;N3
01:03:30;789;N3
01:04:00;790;N3
01:04:30;791;N3
01:05:00;792;N3
01:05:30;793;N3
01:06:00;794;N3
01:06:30;795;N3
01:07:00;796;N3
01:07:30;797;N3
01:08:00;798;N3
01:08:30;799;N3
01:09:00;800;N3
01:09:30;801;N3
01:10:00;802;N3
01:10:30;803;N3
01:11:00;804;N3
01:11:30;805;N3
01:12:00;806;N3
01:12:30;807;N3
01:13:00;808;N3
01:13:30;809;N3
01:14:00;810;N3
01:14:30;811;N3
01:15:00;812;N3
01:15:30;813;N3
01:16:00;814;N3
01:16:30;815;N3
01:17:00;816;N3
01:17:30;817;N3
01:18:00;818;N3
01:18:30;819;N3
01:19:00;820;N3
01:19:30;821;N3
01:20:00;822;N3
01:20:30;823;N3
01:21:00;824;N3
01:21:30;825;N3
01:22:00;826;N2
01:22:30;827;N2
01:23:00;828;N2
01:23:30;829;N2
01:24:00;830;N2
01:24:30;831;N2
01:25:00;832;N2
01:25:30;833;N2
01:26:00;834;N2
01:26:30;835;N2
01:27:00;836;N2
01:27:30;837;N2
01:28:00;838;N2
01:28:30;839;N2
01:29:00;840;N2
01:29:30;841;N2
01:30:00;842;N2
01:30:30;843;N2
01:31:00;844;N2
01:31:30;845;N2
01:32:00;846;N2
01:32:30;847;N2
01:33:00;848;N2
01:33:30;849;プeil
01:34:00;850;プeil
01:34:30;851;プeil
01:35:00;852;プeil
01:35:30;853;プeil
01:36:00;854;プeil
