Horodatage;Num屍o d'姿oque;Sommeil
00:24:30;137;プeil
00:25:00;138;プeil
00:25:30;139;プeil
00:26:00;140;プeil
00:26:30;141;プeil
00:27:00;142;プeil
00:27:30;143;プeil
00:28:00;144;プeil
00:28:30;145;プeil
00:29:00;146;N2
00:29:30;147;N2
00:30:00;148;N2
00:30:30;149;N2
00:31:00;150;N2
00:31:30;151;N2
00:32:00;152;N3
00:32:30;153;N3
00:33:00;154;N3
00:33:30;155;N3
00:34:00;156;N3
00:34:30;157;N3
00:35:00;158;N3
00:35:30;159;N3
00:36:00;160;N3
00:36:30;161;N3
00:37:00;162;N3
00:37:30;163;N3
00:38:00;164;N3
00:38:30;165;N3
00:39:00;166;N3
00:39:30;167;N3
00:40:00;168;N3
00:40:30;169;N3
00:41:00;170;N3
00:41:30;171;N3
00:42:00;172;N3
00:42:30;173;N3
00:43:00;174;N3
00:43:30;175;N3
00:44:00;176;N3
00:44:30;177;N3
00:45:00;178;N3
00:45:30;179;N3
00:46:00;180;N3
00:46:30;181;N3
00:47:00;182;N3
00:47:30;183;N3
00:48:00;184;N3
00:48:30;185;N3
00:49:00;186;N3
00:49:30;187;N3
00:50:00;188;N3
00:50:30;189;N3
00:51:00;190;N3
00:51:30;191;N3
00:52:00;192;N3
00:52:30;193;N3
00:53:00;194;N3
00:53:30;195;N3
00:54:00;196;N3
00:54:30;197;N3
00:55:00;198;N3
00:55:30;199;N3
00:56:00;200;N3
00:56:30;201;N3
00:57:00;202;N3
00:57:30;203;N3
00:58:00;204;N3
00:58:30;205;N3
00:59:00;206;N3
00:59:30;207;N3
01:00:00;208;N3
01:00:30;209;N3
01:01:00;210;N3
01:01:30;211;N3
01:02:00;212;N3
01:02:30;213;N3
01:03:00;214;N3
01:03:30;215;N3
01:04:00;216;N3
01:04:30;217;N3
01:05:00;218;N3
01:05:30;219;N3
01:06:00;220;N3
01:06:30;221;N3
01:07:00;222;N3
01:07:30;223;N3
01:08:00;224;N3
01:08:30;225;N2
01:09:00;226;プeil
01:09:30;227;プeil
01:10:00;228;N2
01:10:30;229;N2
01:11:00;230;N2
01:11:30;231;N2
01:12:00;232;N2
01:12:30;233;N2
01:13:00;234;N1
01:13:30;235;N1
01:14:00;236;N1
01:14:30;237;N1
01:15:00;238;プeil
01:15:30;239;プeil
01:16:00;240;プeil
01:16:30;241;プeil
01:17:00;242;プeil
01:17:30;243;N2
01:18:00;244;N2
01:18:30;245;N2
01:19:00;246;N2
01:19:30;247;N2
01:20:00;248;N2
01:20:30;249;N2
01:21:00;250;N2
01:21:30;251;N2
01:22:00;252;N2
01:22:30;253;N2
01:23:00;254;N2
01:23:30;255;N2
01:24:00;256;N2
01:24:30;257;N2
01:25:00;258;N2
01:25:30;259;N1
01:26:00;260;N1
01:26:30;261;N1
01:27:00;262;N1
01:27:30;263;N1
01:28:00;264;N2
01:28:30;265;N2
01:29:00;266;N2
01:29:30;267;N2
01:30:00;268;N2
01:30:30;269;N2
01:31:00;270;N2
01:31:30;271;N2
01:32:00;272;N2
01:32:30;273;REM
01:33:00;274;REM
01:33:30;275;REM
01:34:00;276;REM
01:34:30;277;REM
01:35:00;278;REM
01:35:30;279;REM
01:36:00;280;REM
01:36:30;281;REM
01:37:00;282;REM
01:37:30;283;REM
01:38:00;284;REM
01:38:30;285;REM
01:39:00;286;REM
01:39:30;287;REM
01:40:00;288;REM
01:40:30;289;REM
01:41:00;290;REM
01:41:30;291;REM
01:42:00;292;REM
01:42:30;293;REM
01:43:00;294;REM
01:43:30;295;REM
01:44:00;296;REM
01:44:30;297;REM
01:45:00;298;REM
01:45:30;299;REM
01:46:00;300;REM
01:46:30;301;プeil
01:47:00;302;プeil
01:47:30;303;プeil
01:48:00;304;プeil
01:48:30;305;プeil
01:49:00;306;プeil
01:49:30;307;プeil
01:50:00;308;プeil
01:50:30;309;プeil
01:51:00;310;プeil
01:51:30;311;N2
01:52:00;312;N2
01:52:30;313;N2
01:53:00;314;N2
01:53:30;315;N2
01:54:00;316;N2
01:54:30;317;N2
01:55:00;318;N2
01:55:30;319;N2
01:56:00;320;N2
01:56:30;321;N2
01:57:00;322;N2
01:57:30;323;N2
01:58:00;324;N2
01:58:30;325;N2
01:59:00;326;N3
01:59:30;327;N3
02:00:00;328;N3
02:00:30;329;N3
02:01:00;330;N3
02:01:30;331;N3
02:02:00;332;N3
02:02:30;333;N3
02:03:00;334;N3
02:03:30;335;N3
02:04:00;336;N3
02:04:30;337;N3
02:05:00;338;N3
02:05:30;339;N3
02:06:00;340;N3
02:06:30;341;N3
02:07:00;342;N3
02:07:30;343;N3
02:08:00;344;N3
02:08:30;345;N3
02:09:00;346;N3
02:09:30;347;N3
02:10:00;348;N3
02:10:30;349;N3
02:11:00;350;N3
02:11:30;351;N3
02:12:00;352;N3
02:12:30;353;N3
02:13:00;354;N3
02:13:30;355;N3
02:14:00;356;N3
02:14:30;357;N3
02:15:00;358;N3
02:15:30;359;N3
02:16:00;360;N3
02:16:30;361;N3
02:17:00;362;N3
02:17:30;363;N3
02:18:00;364;N3
02:18:30;365;N3
02:19:00;366;N3
02:19:30;367;N3
02:20:00;368;N3
02:20:30;369;N3
02:21:00;370;N3
02:21:30;371;N3
02:22:00;372;N3
02:22:30;373;N3
02:23:00;374;N3
02:23:30;375;N3
02:24:00;376;N3
02:24:30;377;N3
02:25:00;378;N3
02:25:30;379;N3
02:26:00;380;N3
02:26:30;381;N3
02:27:00;382;N3
02:27:30;383;N3
02:28:00;384;N3
02:28:30;385;N3
02:29:00;386;N3
02:29:30;387;N3
02:30:00;388;N3
02:30:30;389;N3
02:31:00;390;N3
02:31:30;391;N3
02:32:00;392;N3
02:32:30;393;N3
02:33:00;394;N3
02:33:30;395;N3
02:34:00;396;N3
02:34:30;397;N3
02:35:00;398;N3
02:35:30;399;N3
02:36:00;400;N3
02:36:30;401;N3
02:37:00;402;N3
02:37:30;403;N3
02:38:00;404;N2
02:38:30;405;N2
02:39:00;406;N2
02:39:30;407;N2
02:40:00;408;N1
02:40:30;409;N1
02:41:00;410;N1
02:41:30;411;N1
02:42:00;412;N1
02:42:30;413;N1
02:43:00;414;N1
02:43:30;415;N1
02:44:00;416;N1
02:44:30;417;REM
02:45:00;418;REM
02:45:30;419;REM
02:46:00;420;REM
02:46:30;421;REM
02:47:00;422;REM
02:47:30;423;REM
02:48:00;424;REM
02:48:30;425;REM
02:49:00;426;REM
02:49:30;427;REM
02:50:00;428;REM
02:50:30;429;REM
02:51:00;430;REM
02:51:30;431;REM
02:52:00;432;REM
02:52:30;433;REM
02:53:00;434;REM
02:53:30;435;REM
02:54:00;436;REM
02:54:30;437;REM
02:55:00;438;REM
02:55:30;439;REM
02:56:00;440;REM
02:56:30;441;REM
02:57:00;442;N1
02:57:30;443;N1
02:58:00;444;N2
02:58:30;445;N2
02:59:00;446;N2
02:59:30;447;N2
03:00:00;448;N2
03:00:30;449;N2
03:01:00;450;N2
03:01:30;451;N2
03:02:00;452;N2
03:02:30;453;N2
03:03:00;454;N2
03:03:30;455;N2
03:04:00;456;N2
03:04:30;457;N2
03:05:00;458;N2
03:05:30;459;N2
03:06:00;460;N2
03:06:30;461;N2
03:07:00;462;N2
03:07:30;463;N2
03:08:00;464;N2
03:08:30;465;N2
03:09:00;466;N2
03:09:30;467;N2
03:10:00;468;N2
03:10:30;469;N2
03:11:00;470;N2
03:11:30;471;N2
03:12:00;472;N2
03:12:30;473;N2
03:13:00;474;N2
03:13:30;475;N2
03:14:00;476;N2
03:14:30;477;N2
03:15:00;478;プeil
03:15:30;479;プeil
03:16:00;480;プeil
03:16:30;481;プeil
03:17:00;482;プeil
03:17:30;483;プeil
03:18:00;484;プeil
03:18:30;485;プeil
03:19:00;486;プeil
03:19:30;487;プeil
03:20:00;488;プeil
03:20:30;489;プeil
03:21:00;490;プeil
03:21:30;491;プeil
03:22:00;492;プeil
03:22:30;493;プeil
03:23:00;494;プeil
03:23:30;495;プeil
03:24:00;496;プeil
03:24:30;497;N1
03:25:00;498;N1
03:25:30;499;N1
03:26:00;500;N1
03:26:30;501;N1
03:27:00;502;N2
03:27:30;503;N2
03:28:00;504;N2
03:28:30;505;N2
03:29:00;506;N2
03:29:30;507;N2
03:30:00;508;N2
03:30:30;509;N2
03:31:00;510;N2
03:31:30;511;N2
03:32:00;512;N2
03:32:30;513;N2
03:33:00;514;N2
03:33:30;515;N2
03:34:00;516;N2
03:34:30;517;N2
03:35:00;518;N2
03:35:30;519;N2
03:36:00;520;N2
03:36:30;521;N2
03:37:00;522;N1
03:37:30;523;N1
03:38:00;524;N1
03:38:30;525;N1
03:39:00;526;N1
03:39:30;527;N1
03:40:00;528;N1
03:40:30;529;N1
03:41:00;530;N1
03:41:30;531;N1
03:42:00;532;N1
03:42:30;533;N2
03:43:00;534;N2
03:43:30;535;N2
03:44:00;536;N2
03:44:30;537;N2
03:45:00;538;N2
03:45:30;539;N2
03:46:00;540;N2
03:46:30;541;N3
03:47:00;542;N3
03:47:30;543;N3
03:48:00;544;N3
03:48:30;545;N3
03:49:00;546;N3
03:49:30;547;N3
03:50:00;548;N3
03:50:30;549;N3
03:51:00;550;N3
03:51:30;551;N3
03:52:00;552;N3
03:52:30;553;N3
03:53:00;554;N3
