;Horodatage;Numéro d'époque;Sommeil
0;[];[#];[]
1;2020-01-10 00:24:30;137;Éveil
2;2020-01-10 00:25:00;138;Éveil
3;2020-01-10 00:25:30;139;Éveil
4;2020-01-10 00:26:00;140;Éveil
5;2020-01-10 00:26:30;141;Éveil
6;2020-01-10 00:27:00;142;Éveil
7;2020-01-10 00:27:30;143;Éveil
8;2020-01-10 00:28:00;144;Éveil
9;2020-01-10 00:28:30;145;Éveil
10;2020-01-10 00:29:00;146;N2
11;2020-01-10 00:29:30;147;N2
12;2020-01-10 00:30:00;148;N2
13;2020-01-10 00:30:30;149;N2
14;2020-01-10 00:31:00;150;N2
15;2020-01-10 00:31:30;151;N2
16;2020-01-10 00:32:00;152;N3
17;2020-01-10 00:32:30;153;N3
18;2020-01-10 00:33:00;154;N3
19;2020-01-10 00:33:30;155;N3
20;2020-01-10 00:34:00;156;N3
21;2020-01-10 00:34:30;157;N3
22;2020-01-10 00:35:00;158;N3
23;2020-01-10 00:35:30;159;N3
24;2020-01-10 00:36:00;160;N3
25;2020-01-10 00:36:30;161;N3
26;2020-01-10 00:37:00;162;N3
27;2020-01-10 00:37:30;163;N3
28;2020-01-10 00:38:00;164;N3
29;2020-01-10 00:38:30;165;N3
30;2020-01-10 00:39:00;166;N3
31;2020-01-10 00:39:30;167;N3
32;2020-01-10 00:40:00;168;N3
33;2020-01-10 00:40:30;169;N3
34;2020-01-10 00:41:00;170;N3
35;2020-01-10 00:41:30;171;N3
36;2020-01-10 00:42:00;172;N3
37;2020-01-10 00:42:30;173;N3
38;2020-01-10 00:43:00;174;N3
39;2020-01-10 00:43:30;175;N3
40;2020-01-10 00:44:00;176;N3
41;2020-01-10 00:44:30;177;N3
42;2020-01-10 00:45:00;178;N3
43;2020-01-10 00:45:30;179;N3
44;2020-01-10 00:46:00;180;N3
45;2020-01-10 00:46:30;181;N3
46;2020-01-10 00:47:00;182;N3
47;2020-01-10 00:47:30;183;N3
48;2020-01-10 00:48:00;184;N3
49;2020-01-10 00:48:30;185;N3
50;2020-01-10 00:49:00;186;N3
51;2020-01-10 00:49:30;187;N3
52;2020-01-10 00:50:00;188;N3
53;2020-01-10 00:50:30;189;N3
54;2020-01-10 00:51:00;190;N3
55;2020-01-10 00:51:30;191;N3
56;2020-01-10 00:52:00;192;N3
57;2020-01-10 00:52:30;193;N3
58;2020-01-10 00:53:00;194;N3
59;2020-01-10 00:53:30;195;N3
60;2020-01-10 00:54:00;196;N3
61;2020-01-10 00:54:30;197;N3
62;2020-01-10 00:55:00;198;N3
63;2020-01-10 00:55:30;199;N3
64;2020-01-10 00:56:00;200;N3
65;2020-01-10 00:56:30;201;N3
66;2020-01-10 00:57:00;202;N3
67;2020-01-10 00:57:30;203;N3
68;2020-01-10 00:58:00;204;N3
69;2020-01-10 00:58:30;205;N3
70;2020-01-10 00:59:00;206;N3
71;2020-01-10 00:59:30;207;N3
72;2020-01-10 01:00:00;208;N3
73;2020-01-10 01:00:30;209;N3
74;2020-01-10 01:01:00;210;N3
75;2020-01-10 01:01:30;211;N3
76;2020-01-10 01:02:00;212;N3
77;2020-01-10 01:02:30;213;N3
78;2020-01-10 01:03:00;214;N3
79;2020-01-10 01:03:30;215;N3
80;2020-01-10 01:04:00;216;N3
81;2020-01-10 01:04:30;217;N3
82;2020-01-10 01:05:00;218;N3
83;2020-01-10 01:05:30;219;N3
84;2020-01-10 01:06:00;220;N3
85;2020-01-10 01:06:30;221;N3
86;2020-01-10 01:07:00;222;N3
87;2020-01-10 01:07:30;223;N3
88;2020-01-10 01:08:00;224;N3
89;2020-01-10 01:08:30;225;N2
90;2020-01-10 01:09:00;226;Éveil
91;2020-01-10 01:09:30;227;Éveil
92;2020-01-10 01:10:00;228;N2
93;2020-01-10 01:10:30;229;N2
94;2020-01-10 01:11:00;230;N2
95;2020-01-10 01:11:30;231;N2
96;2020-01-10 01:12:00;232;N2
97;2020-01-10 01:12:30;233;N2
98;2020-01-10 01:13:00;234;N1
99;2020-01-10 01:13:30;235;N1
100;2020-01-10 01:14:00;236;N1
101;2020-01-10 01:14:30;237;N1
102;2020-01-10 01:15:00;238;Éveil
103;2020-01-10 01:15:30;239;Éveil
104;2020-01-10 01:16:00;240;Éveil
105;2020-01-10 01:16:30;241;Éveil
106;2020-01-10 01:17:00;242;Éveil
107;2020-01-10 01:17:30;243;N2
108;2020-01-10 01:18:00;244;N2
109;2020-01-10 01:18:30;245;N2
110;2020-01-10 01:19:00;246;N2
111;2020-01-10 01:19:30;247;N2
112;2020-01-10 01:20:00;248;N2
113;2020-01-10 01:20:30;249;N2
114;2020-01-10 01:21:00;250;N2
115;2020-01-10 01:21:30;251;N2
116;2020-01-10 01:22:00;252;N2
117;2020-01-10 01:22:30;253;N2
118;2020-01-10 01:23:00;254;N2
119;2020-01-10 01:23:30;255;N2
120;2020-01-10 01:24:00;256;N2
121;2020-01-10 01:24:30;257;N2
122;2020-01-10 01:25:00;258;N2
123;2020-01-10 01:25:30;259;N1
124;2020-01-10 01:26:00;260;N1
125;2020-01-10 01:26:30;261;N1
126;2020-01-10 01:27:00;262;N1
127;2020-01-10 01:27:30;263;N1
128;2020-01-10 01:28:00;264;N2
129;2020-01-10 01:28:30;265;N2
130;2020-01-10 01:29:00;266;N2
131;2020-01-10 01:29:30;267;N2
132;2020-01-10 01:30:00;268;N2
133;2020-01-10 01:30:30;269;N2
134;2020-01-10 01:31:00;270;N2
135;2020-01-10 01:31:30;271;N2
136;2020-01-10 01:32:00;272;N2
137;2020-01-10 01:32:30;273;REM
138;2020-01-10 01:33:00;274;REM
139;2020-01-10 01:33:30;275;REM
140;2020-01-10 01:34:00;276;REM
141;2020-01-10 01:34:30;277;REM
142;2020-01-10 01:35:00;278;REM
143;2020-01-10 01:35:30;279;REM
144;2020-01-10 01:36:00;280;REM
145;2020-01-10 01:36:30;281;REM
146;2020-01-10 01:37:00;282;REM
147;2020-01-10 01:37:30;283;REM
148;2020-01-10 01:38:00;284;REM
149;2020-01-10 01:38:30;285;REM
150;2020-01-10 01:39:00;286;REM
151;2020-01-10 01:39:30;287;REM
152;2020-01-10 01:40:00;288;REM
153;2020-01-10 01:40:30;289;REM
154;2020-01-10 01:41:00;290;REM
155;2020-01-10 01:41:30;291;REM
156;2020-01-10 01:42:00;292;REM
157;2020-01-10 01:42:30;293;REM
158;2020-01-10 01:43:00;294;REM
159;2020-01-10 01:43:30;295;REM
160;2020-01-10 01:44:00;296;REM
161;2020-01-10 01:44:30;297;REM
162;2020-01-10 01:45:00;298;REM
163;2020-01-10 01:45:30;299;REM
164;2020-01-10 01:46:00;300;REM
165;2020-01-10 01:46:30;301;Éveil
166;2020-01-10 01:47:00;302;Éveil
167;2020-01-10 01:47:30;303;Éveil
168;2020-01-10 01:48:00;304;Éveil
169;2020-01-10 01:48:30;305;Éveil
170;2020-01-10 01:49:00;306;Éveil
171;2020-01-10 01:49:30;307;Éveil
172;2020-01-10 01:50:00;308;Éveil
173;2020-01-10 01:50:30;309;Éveil
174;2020-01-10 01:51:00;310;Éveil
175;2020-01-10 01:51:30;311;N2
176;2020-01-10 01:52:00;312;N2
177;2020-01-10 01:52:30;313;N2
178;2020-01-10 01:53:00;314;N2
179;2020-01-10 01:53:30;315;N2
